departamento,municipio,universidad,semestre,programa,rol,edad,sexo,orientacion,identidad,discapacidad,etnia,religion,estado_civil,origen,estrato,target_vg,target_frecuencia,target_denuncia,target_apoyoU,target_percepcion,target_semestre,target_programa,target_rol,target_rangoEdad,target_sexo,target_orientacion,target_identidad,target_discapacidad,target_etnia,target_religion,target_estadoCivil,target_origen,target_estrato
Boyacá,Medellín,Universidad A,Décimo,IngenieriaSistemas,Docente,58,intersexual,lesbiana,hombre,sensoriales,gitanos,evangelismo,divorciado,otroPais,2,0,puntomedio,1,0,muyBuena,Primero,Psicologia,Externo,entre26y40,intersexual,hetero,mujer,multiples,gitanos,catolicismo,casado,otroDepartamento,4
Antioquia,Cali,Universidad A,Primero,Psicologia,Externo,53,intersexual,hetero,hombre,sensoriales,ninguna,agnosticismo,soltero,otroDepartamento,2,0,puntomedio,1,0,muyMala,Tercero,Psicologia,Docente,menores18,intersexual,hetero,otra,sensoriales,indigena,catolicismo,viudo,otroDepartamento,2
Valle del Cauca,Tunja,Universidad C,Noveno,IngenieriaSistemas,Administrativx,40,intersexual,gay,hombre,sensoriales,gitanos,catolicismo,casado,otroDepartamento,1,0,siempre,0,1,regular,Noveno,Derecho,Externo,mayores40,intersexual,lesbiana,mujer,fisicas,indigena,catolicismo,casado,municipioLocal,1
Córdoba,Medellín,Universidad A,Primero,ContaduriaPublica,Docente,60,intersexual,otra,otra,fisicas,afrocolombianos,ateismo,soltero,otroPais,2,0,siempre,0,0,regular,Quinto,ContaduriaPublica,Docente,entre26y40,intersexual,hetero,mujer,fisicas,ninguna,agnosticismo,soltero,otroPais,6
Valle del Cauca,Bogotá,Universidad A,Tercero,AdministracionEmpresas,Administrativx,23,intersexual,hetero,mujer,ninguna,raizales,cristianismo,soltero,municipioLocal,6,1,casisiempre,1,1,muyBuena,Séptimo,Psicologia,Docente,menores18,macho,bisexual,mujer,multiples,ninguna,ateismo,soltero,otroMunicipio,5
Córdoba,Cali,Universidad C,Octavo,IngenieriaSistemas,Estudiante,22,macho,bisexual,otra,multiples,ninguna,ateismo,viudo,municipioLocal,6,0,casinunca,0,0,muyBuena,Tercero,ContaduriaPublica,Estudiante,menores18,macho,hetero,otra,fisicas,ninguna,catolicismo,viudo,otroDepartamento,1
Antioquia,Bogotá,Universidad B,Tercero,Derecho,Docente,60,hembra,bisexual,mujer,psicosociales,afrocolombianos,cristianismo,divorciado,otroPais,6,1,siempre,0,0,mala,Cuarto,IngenieriaSistemas,Administrativx,mayores40,hembra,otra,hombre,intelectuales,indigena,catolicismo,divorciado,otroMunicipio,6
Cundinamarca,Bogotá,Universidad A,Cuarto,Psicologia,Estudiante,42,macho,gay,hombre,multiples,gitanos,catolicismo,viudo,otroDepartamento,1,0,nunca,0,0,muyMala,Primero,AdministracionEmpresas,Externo,menores18,intersexual,bisexual,otra,multiples,ninguna,otra,soltero,otroDepartamento,6
Boyacá,Cali,Universidad C,Octavo,ContaduriaPublica,Administrativx,35,intersexual,gay,mujer,fisicas,raizales,ateismo,divorciado,municipioLocal,4,0,casinunca,1,0,regular,Tercero,Derecho,Estudiante,mayores40,macho,hetero,mujer,fisicas,raizales,catolicismo,casado,otroPais,2
Antioquia,Bogotá,Universidad A,Primero,Derecho,Administrativx,30,hembra,otra,mujer,fisicas,afrocolombianos,catolicismo,soltero,otroMunicipio,4,0,siempre,1,0,mala,Séptimo,Psicologia,Estudiante,menores18,intersexual,bisexual,otra,fisicas,afrocolombianos,agnosticismo,casado,otroMunicipio,3
Boyacá,Cali,Universidad A,Sexto,ContaduriaPublica,Externo,60,macho,otra,otra,fisicas,raizales,cristianismo,soltero,otroDepartamento,2,0,nunca,0,0,regular,Cuarto,Derecho,Estudiante,mayores40,macho,hetero,mujer,fisicas,afrocolombianos,cristianismo,unionLibre,municipioLocal,5
Cundinamarca,Medellín,Universidad B,Primero,AdministracionEmpresas,Administrativx,31,macho,gay,mujer,ninguna,afrocolombianos,evangelismo,divorciado,otroPais,6,0,casisiempre,0,1,muyBuena,Segundo,IngenieriaSistemas,Externo,mayores40,hembra,bisexual,hombre,multiples,ninguna,ateismo,divorciado,otroDepartamento,3
Cundinamarca,Cali,Universidad A,Primero,Psicologia,Estudiante,45,intersexual,gay,hombre,fisicas,gitanos,ateismo,soltero,otroDepartamento,2,0,nunca,1,1,muyMala,Quinto,IngenieriaSistemas,Estudiante,mayores40,intersexual,gay,hombre,sensoriales,gitanos,cristianismo,unionLibre,municipioLocal,3
Antioquia,Cali,Universidad C,Octavo,Psicologia,Administrativx,35,macho,bisexual,mujer,sensoriales,raizales,catolicismo,soltero,otroMunicipio,1,0,siempre,1,0,buena,Quinto,IngenieriaSistemas,Administrativx,mayores40,hembra,lesbiana,otra,psicosociales,ninguna,otra,viudo,municipioLocal,5
Cundinamarca,Tunja,Universidad A,Cuarto,AdministracionEmpresas,Externo,45,macho,gay,mujer,multiples,afrocolombianos,otra,casado,otroMunicipio,2,0,puntomedio,1,1,muyMala,Segundo,IngenieriaSistemas,Estudiante,menores18,hembra,bisexual,hombre,ninguna,ninguna,evangelismo,soltero,otroPais,5
Córdoba,Cali,Universidad B,Primero,Psicologia,Externo,44,macho,lesbiana,mujer,intelectuales,gitanos,ateismo,viudo,municipioLocal,5,0,siempre,0,1,buena,Sexto,AdministracionEmpresas,Estudiante,mayores40,hembra,otra,mujer,fisicas,indigena,evangelismo,unionLibre,municipioLocal,1
Cundinamarca,Cali,Universidad B,Décimo,IngenieriaSistemas,Estudiante,49,macho,hetero,otra,psicosociales,ninguna,ateismo,viudo,otroMunicipio,4,0,puntomedio,0,1,mala,Décimo,ContaduriaPublica,Docente,entre26y40,macho,lesbiana,mujer,psicosociales,gitanos,catolicismo,unionLibre,otroDepartamento,2
Boyacá,Medellín,Universidad C,Séptimo,ContaduriaPublica,Docente,26,macho,gay,mujer,fisicas,gitanos,ateismo,viudo,otroDepartamento,2,0,casisiempre,0,1,buena,Cuarto,ContaduriaPublica,Estudiante,menores18,intersexual,lesbiana,hombre,psicosociales,ninguna,otra,viudo,municipioLocal,3
Boyacá,Tunja,Universidad B,Quinto,Derecho,Administrativx,57,intersexual,otra,mujer,multiples,gitanos,agnosticismo,unionLibre,municipioLocal,2,1,casisiempre,1,0,buena,Primero,AdministracionEmpresas,Externo,mayores40,macho,hetero,hombre,fisicas,raizales,cristianismo,casado,municipioLocal,2
Boyacá,Montería,Universidad A,Quinto,AdministracionEmpresas,Externo,49,intersexual,lesbiana,otra,fisicas,ninguna,catolicismo,casado,otroMunicipio,3,0,casinunca,0,0,mala,Tercero,ContaduriaPublica,Externo,menores18,macho,bisexual,hombre,fisicas,afrocolombianos,agnosticismo,casado,otroDepartamento,2
Boyacá,Medellín,Universidad B,Primero,IngenieriaSistemas,Administrativx,37,macho,otra,otra,ninguna,gitanos,catolicismo,viudo,municipioLocal,2,1,casinunca,0,0,muyMala,Noveno,IngenieriaSistemas,Administrativx,menores18,intersexual,lesbiana,otra,ninguna,raizales,ateismo,viudo,municipioLocal,4
Córdoba,Medellín,Universidad C,Décimo,Derecho,Administrativx,45,intersexual,lesbiana,otra,fisicas,ninguna,ateismo,viudo,municipioLocal,5,0,puntomedio,0,0,mala,Décimo,ContaduriaPublica,Externo,menores18,intersexual,otra,otra,psicosociales,raizales,cristianismo,casado,otroPais,1
Valle del Cauca,Montería,Universidad B,Sexto,Derecho,Docente,50,intersexual,gay,otra,fisicas,ninguna,evangelismo,casado,otroPais,4,1,puntomedio,0,1,muyBuena,Séptimo,Derecho,Externo,menores18,intersexual,otra,mujer,sensoriales,raizales,otra,viudo,otroDepartamento,3
Antioquia,Cali,Universidad B,Noveno,AdministracionEmpresas,Externo,21,hembra,hetero,hombre,fisicas,ninguna,ateismo,soltero,municipioLocal,3,0,casisiempre,1,0,muyBuena,Sexto,ContaduriaPublica,Estudiante,mayores40,intersexual,otra,otra,psicosociales,gitanos,otra,casado,otroPais,6
Boyacá,Bogotá,Universidad B,Noveno,IngenieriaSistemas,Administrativx,51,macho,otra,hombre,fisicas,afrocolombianos,agnosticismo,viudo,municipioLocal,1,1,nunca,0,1,buena,Primero,Derecho,Administrativx,menores18,macho,hetero,otra,sensoriales,gitanos,cristianismo,viudo,municipioLocal,5
Cundinamarca,Tunja,Universidad C,Octavo,Derecho,Externo,20,intersexual,lesbiana,mujer,psicosociales,raizales,cristianismo,soltero,otroMunicipio,1,0,puntomedio,1,1,mala,Noveno,Psicologia,Externo,entre26y40,intersexual,gay,mujer,intelectuales,gitanos,ateismo,casado,otroMunicipio,5
Boyacá,Bogotá,Universidad B,Quinto,Derecho,Estudiante,43,intersexual,bisexual,hombre,multiples,afrocolombianos,agnosticismo,viudo,otroDepartamento,4,1,puntomedio,1,1,mala,Noveno,Derecho,Administrativx,menores18,intersexual,bisexual,mujer,sensoriales,afrocolombianos,cristianismo,unionLibre,otroPais,2
Cundinamarca,Montería,Universidad B,Primero,IngenieriaSistemas,Estudiante,25,macho,gay,mujer,ninguna,ninguna,evangelismo,divorciado,otroDepartamento,1,0,nunca,0,1,mala,Primero,Derecho,Administrativx,menores18,intersexual,lesbiana,hombre,ninguna,indigena,cristianismo,unionLibre,otroPais,1
Cundinamarca,Medellín,Universidad A,Noveno,Psicologia,Administrativx,23,hembra,hetero,hombre,fisicas,raizales,ateismo,unionLibre,otroMunicipio,5,0,casinunca,1,0,muyMala,Sexto,IngenieriaSistemas,Docente,entre26y40,hembra,bisexual,hombre,multiples,ninguna,ateismo,casado,municipioLocal,1
Boyacá,Medellín,Universidad C,Primero,Derecho,Externo,33,macho,gay,otra,fisicas,raizales,catolicismo,viudo,otroDepartamento,2,0,casinunca,1,1,regular,Séptimo,IngenieriaSistemas,Docente,mayores40,intersexual,lesbiana,otra,fisicas,ninguna,agnosticismo,viudo,otroMunicipio,3
Córdoba,Tunja,Universidad B,Octavo,ContaduriaPublica,Administrativx,41,hembra,bisexual,otra,fisicas,ninguna,otra,divorciado,municipioLocal,4,0,puntomedio,1,0,regular,Segundo,IngenieriaSistemas,Estudiante,entre26y40,intersexual,hetero,mujer,intelectuales,indigena,otra,unionLibre,otroDepartamento,3
Cundinamarca,Medellín,Universidad C,Quinto,IngenieriaSistemas,Externo,56,macho,hetero,hombre,fisicas,raizales,ateismo,casado,otroPais,3,0,casinunca,0,1,regular,Décimo,Derecho,Externo,entre18y25,macho,bisexual,otra,psicosociales,ninguna,ateismo,soltero,otroMunicipio,2
Cundinamarca,Medellín,Universidad B,Tercero,Derecho,Externo,47,macho,bisexual,hombre,sensoriales,raizales,evangelismo,divorciado,municipioLocal,2,0,casinunca,0,1,muyMala,Octavo,AdministracionEmpresas,Estudiante,entre26y40,hembra,hetero,otra,sensoriales,raizales,catolicismo,casado,otroDepartamento,2
Boyacá,Tunja,Universidad B,Séptimo,AdministracionEmpresas,Docente,30,macho,gay,mujer,sensoriales,afrocolombianos,catolicismo,casado,municipioLocal,1,0,casinunca,0,1,mala,Octavo,IngenieriaSistemas,Estudiante,mayores40,macho,hetero,mujer,intelectuales,afrocolombianos,catolicismo,soltero,municipioLocal,2
Cundinamarca,Tunja,Universidad B,Séptimo,ContaduriaPublica,Docente,22,macho,lesbiana,mujer,intelectuales,raizales,agnosticismo,viudo,otroPais,1,1,casisiempre,1,0,regular,Sexto,IngenieriaSistemas,Administrativx,entre26y40,hembra,bisexual,mujer,multiples,ninguna,catolicismo,soltero,otroMunicipio,4
Cundinamarca,Montería,Universidad A,Noveno,Derecho,Docente,42,hembra,gay,mujer,fisicas,ninguna,cristianismo,casado,otroMunicipio,3,0,siempre,1,1,mala,Noveno,Derecho,Administrativx,menores18,macho,bisexual,mujer,sensoriales,afrocolombianos,catolicismo,divorciado,municipioLocal,1
Boyacá,Medellín,Universidad A,Séptimo,ContaduriaPublica,Administrativx,37,hembra,gay,otra,intelectuales,indigena,cristianismo,divorciado,municipioLocal,5,1,puntomedio,1,0,buena,Tercero,Psicologia,Administrativx,mayores40,macho,lesbiana,mujer,ninguna,indigena,evangelismo,soltero,otroPais,2
Boyacá,Medellín,Universidad A,Tercero,ContaduriaPublica,Docente,35,intersexual,gay,otra,psicosociales,indigena,ateismo,unionLibre,municipioLocal,3,0,puntomedio,0,0,regular,Segundo,Psicologia,Estudiante,entre18y25,intersexual,otra,otra,psicosociales,ninguna,agnosticismo,soltero,otroMunicipio,1
Antioquia,Montería,Universidad C,Primero,Psicologia,Docente,35,macho,otra,otra,intelectuales,indigena,agnosticismo,soltero,otroMunicipio,4,0,casisiempre,0,1,buena,Segundo,ContaduriaPublica,Externo,mayores40,intersexual,hetero,otra,psicosociales,afrocolombianos,evangelismo,divorciado,otroDepartamento,6
Córdoba,Cali,Universidad C,Octavo,ContaduriaPublica,Estudiante,19,hembra,bisexual,otra,multiples,ninguna,otra,soltero,municipioLocal,3,1,siempre,1,0,muyMala,Sexto,Psicologia,Estudiante,menores18,hembra,gay,otra,sensoriales,raizales,cristianismo,divorciado,otroPais,5
Córdoba,Cali,Universidad A,Tercero,Psicologia,Externo,27,hembra,bisexual,mujer,sensoriales,indigena,otra,unionLibre,municipioLocal,1,1,siempre,0,1,muyBuena,Séptimo,IngenieriaSistemas,Estudiante,entre18y25,hembra,lesbiana,mujer,multiples,raizales,cristianismo,divorciado,otroDepartamento,5
Cundinamarca,Cali,Universidad C,Octavo,IngenieriaSistemas,Externo,29,hembra,bisexual,otra,sensoriales,afrocolombianos,evangelismo,soltero,otroDepartamento,5,1,casisiempre,1,0,muyMala,Sexto,AdministracionEmpresas,Estudiante,mayores40,hembra,lesbiana,hombre,fisicas,indigena,ateismo,viudo,otroPais,1
Córdoba,Montería,Universidad B,Octavo,Psicologia,Docente,30,macho,otra,otra,fisicas,ninguna,cristianismo,viudo,otroMunicipio,5,0,nunca,0,1,muyMala,Tercero,ContaduriaPublica,Docente,mayores40,intersexual,otra,otra,fisicas,gitanos,catolicismo,divorciado,otroDepartamento,6
Cundinamarca,Medellín,Universidad B,Quinto,AdministracionEmpresas,Externo,28,intersexual,lesbiana,otra,fisicas,ninguna,agnosticismo,viudo,municipioLocal,6,0,nunca,0,0,muyMala,Quinto,AdministracionEmpresas,Docente,menores18,macho,otra,hombre,psicosociales,ninguna,ateismo,viudo,otroDepartamento,5
Antioquia,Montería,Universidad B,Primero,Derecho,Estudiante,36,hembra,gay,otra,psicosociales,ninguna,ateismo,divorciado,municipioLocal,3,0,siempre,0,1,regular,Octavo,AdministracionEmpresas,Externo,entre26y40,hembra,hetero,hombre,multiples,raizales,cristianismo,casado,municipioLocal,5
Boyacá,Montería,Universidad A,Décimo,IngenieriaSistemas,Estudiante,52,macho,lesbiana,hombre,ninguna,raizales,catolicismo,divorciado,otroPais,4,0,nunca,0,1,buena,Sexto,IngenieriaSistemas,Docente,entre26y40,intersexual,lesbiana,hombre,psicosociales,raizales,catolicismo,viudo,otroPais,5
Boyacá,Cali,Universidad C,Séptimo,IngenieriaSistemas,Docente,56,hembra,otra,mujer,psicosociales,raizales,ateismo,casado,otroPais,1,0,nunca,0,1,regular,Segundo,Derecho,Estudiante,entre18y25,intersexual,lesbiana,mujer,fisicas,indigena,otra,casado,municipioLocal,3
Boyacá,Bogotá,Universidad A,Décimo,AdministracionEmpresas,Estudiante,43,hembra,bisexual,mujer,multiples,raizales,ateismo,divorciado,otroPais,2,1,nunca,0,0,muyBuena,Séptimo,Derecho,Docente,menores18,macho,gay,mujer,psicosociales,raizales,agnosticismo,divorciado,municipioLocal,6
Córdoba,Medellín,Universidad C,Quinto,Psicologia,Externo,31,intersexual,gay,otra,fisicas,gitanos,agnosticismo,viudo,municipioLocal,5,1,siempre,0,1,muyMala,Octavo,Derecho,Docente,menores18,macho,hetero,otra,sensoriales,ninguna,cristianismo,divorciado,municipioLocal,3
Antioquia,Cali,Universidad B,Octavo,Derecho,Administrativx,41,hembra,hetero,hombre,fisicas,afrocolombianos,cristianismo,divorciado,municipioLocal,3,0,nunca,0,0,mala,Cuarto,Psicologia,Estudiante,entre26y40,intersexual,hetero,otra,ninguna,indigena,otra,casado,municipioLocal,1
Córdoba,Bogotá,Universidad A,Noveno,Psicologia,Externo,58,hembra,hetero,mujer,psicosociales,ninguna,agnosticismo,soltero,otroPais,6,0,puntomedio,0,0,muyBuena,Primero,Derecho,Externo,entre26y40,macho,otra,mujer,sensoriales,afrocolombianos,ateismo,unionLibre,otroDepartamento,1
Córdoba,Bogotá,Universidad C,Séptimo,ContaduriaPublica,Administrativx,18,macho,lesbiana,mujer,psicosociales,ninguna,catolicismo,casado,otroDepartamento,4,1,siempre,1,0,buena,Segundo,IngenieriaSistemas,Docente,entre18y25,macho,hetero,mujer,ninguna,indigena,otra,viudo,municipioLocal,4
Antioquia,Tunja,Universidad C,Séptimo,Psicologia,Docente,60,macho,bisexual,otra,psicosociales,raizales,agnosticismo,casado,otroDepartamento,4,0,casisiempre,0,1,muyBuena,Cuarto,Psicologia,Estudiante,entre26y40,intersexual,gay,hombre,multiples,ninguna,ateismo,soltero,municipioLocal,3
Antioquia,Medellín,Universidad B,Primero,IngenieriaSistemas,Administrativx,39,intersexual,hetero,otra,sensoriales,ninguna,evangelismo,viudo,otroDepartamento,1,0,nunca,1,0,regular,Séptimo,Derecho,Estudiante,entre18y25,hembra,hetero,mujer,fisicas,ninguna,cristianismo,divorciado,municipioLocal,1
